N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
87,삼성증권,"44,350",200,-0.45%,"5,000","39,605","89,300",28.28,"221,279",5.07,9.89,
88,GS리테일,"36,950",250,-0.67%,"1,000","38,693","104,718",12.80,"800,977",18.99,7.50,
89,효성티앤씨,"881,000","54,000",-5.78%,"5,000","38,127","4,328",23.68,"141,745",14.88,25.10,
90,GS건설,"43,900",100,-0.23%,"5,000","37,570","85,581",26.58,"402,544",10.56,7.68,
91,호텔신라,"95,000",600,+0.64%,"5,000","37,286","39,248",19.25,"199,782",-17.98,-36.74,
92,녹십자,"319,000","2,500",-0.78%,"5,000","37,280","11,687",20.97,"54,528",37.23,7.48,
93,대우조선해양,"33,300",250,-0.75%,"5,000","35,728","107,291",7.20,"229,508",-9.14,2.27,
94,NH투자증권,"12,650",50,-0.39%,"5,000","35,598","281,409",17.81,"647,665",4.73,10.32,
95,일진머티리얼즈,"76,800","1,700",+2.26%,500,"35,413","46,111",9.74,"758,809",88.07,7.23,
96,신풍제약,"66,400","1,400",+2.15%,500,"35,182","52,985",8.36,"1,358,831",772.09,1.72,
97,현대오토에버,"123,500","3,000",-2.37%,500,"33,869","27,424",1.41,"83,610",44.01,11.09,
98,씨에스윈드,"80,000",800,-0.99%,500,"33,737","42,171",11.48,"589,342",64.46,8.19,
99,한국가스공사,"36,500",900,+2.53%,"5,000","33,694","92,313",6.52,"618,108",-17.17,-2.24,
100,두산인프라코어,"14,450",0,0.00%,"5,000","33,408","231,195",9.72,0,13.75,6.47,
101,한국항공우주,"34,200",50,+0.15%,"5,000","33,336","97,475",14.07,"352,920",432.91,6.39,
102,메리츠증권,"4,870",15,-0.31%,"1,000","33,200","681,731",14.06,"1,208,015",5.38,13.08,
103,롯데쇼핑,"114,000","2,000",+1.79%,"5,000","32,249","28,289",10.49,"120,796",-4.28,-7.70,
104,휠라홀딩스,"52,900",100,-0.19%,"1,000","32,138","60,752",46.46,"220,692",16.88,10.94,
105,한화시스템,"16,950",50,-0.29%,"5,000","32,022","188,919",2.46,"480,756",19.39,9.35,
106,현대미포조선,"79,800",200,-0.25%,"5,000","31,874","39,942",9.84,"200,022",-97.44,-0.84,
107,키움증권,"121,500",500,+0.41%,"5,000","31,822","26,191",23.21,"82,834",3.24,27.63,
108,두산퓨얼셀,"48,050",650,-1.33%,100,"31,470","65,494",11.98,"471,746",271.47,4.18,
109,에스원,"82,800",500,-0.60%,500,"31,463","37,999",54.38,"87,594",21.05,10.48,
110,한화생명,"3,520",65,+1.88%,"5,000","30,572","868,530",7.22,"2,903,351",6.53,1.90,
111,대우건설,"7,260",30,-0.41%,"5,000","30,174","415,623",9.60,"1,945,154",8.16,11.06,
